GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
basedao,com.ibanfr.infrastructure.dao,BaseDao,0,25,0,0,0,8,0,3,0,3
basedao,com.ibanfr.infrastructure.dao,EmployeeDao,0,5,0,0,0,2,0,1,0,1
basedao,com.ibanfr.infrastructure.dao,TeamDao,0,5,0,0,0,2,0,1,0,1
basedao,com.ibanfr.infrastructure.dao,SessionFactoryProducer,0,73,0,0,0,18,0,7,0,7
basedao,com.ibanfr.infrastructure.dao,TransactionInterceptor,0,48,2,2,0,17,2,3,0,3
basedao,com.ibanfr,Main,7,0,0,0,3,0,2,0,2,0
basedao,com.ibanfr.domain.model,DomainEntity,0,10,0,0,0,3,0,3,0,3
basedao,com.ibanfr.domain.model,Employee.EmployeeBuilder,4,14,0,0,0,1,1,3,1,3
basedao,com.ibanfr.domain.model,Team,9,24,0,0,2,9,2,5,2,5
basedao,com.ibanfr.domain.model,Employee,29,53,8,6,0,9,7,8,1,7
